"","Group","type","TL","Biomass","PB","QB","EE","GE","Removals"
"AmLobster","AmLobster",0,2.99125358194019,0.0818827295457929,2.3,15.533,0.86107881962504,0.148071847035344,0.0201309505500895
"RiverHerring","RiverHerring",0,3.61009870526405,0.0263927963182472,1.17,6.567885815,4.22108115252737,0.178139515965382,0.000357103828290985
"AtlCroaker","AtlCroaker",0,3.55059601260526,0.678526818097067,1.02,3.727232558,0.383999615212118,0.273661485868572,0.00346981410199679
"AtlMackerel","AtlMackerel",0,3.47537927028006,0.0203331772457692,2.76,2.17,11.5807332335123,1.27188940092166,0.0327024396310871
"AtlScallop","AtlScallop",0,2.08,0.695624104300059,1.5,6.66,2.67234214125163,0.225225225225225,0.00166328496522715
"Bacteria","Bacteria",0,2,7.157778,91.25,380.2082,0.867032593483247,0.240000084164413,0
"BaleenWhales","BaleenWhales",0,4.10429568362745,0.16,0.06,4.308693137,0.0659502462622956,0.0139253360803912,0
"BlackSeaBass","BlackSeaBass",0,3.69553348006004,0.0171151580210713,0.65,0.83,6.24196807077275,0.783132530120482,0.0236567103023455
"Bluefish","Bluefish",0,4.60018731685785,0.244755281604561,0.68,4.268988338,2.41393189825991,0.159288324577288,0.319023429769217
"Butterfish","Butterfish",0,3.7754795179552,2.11855582685612,1.64,4.23,0.616119979843505,0.387706855791962,0.0691161111810393
"Cod","Cod",0,4.08001133753434,0.0419021657204,0.7,2.244909664,2.05877521252199,0.311816556017997,0.0580845079609743
"Fourspot","Fourspot",0,4.46116189463203,0.185740283346271,0.45,0.92,0.935031579497847,0.489130434782609,1.99916279128865e-06
"GelZooplankton","GelZooplankton",0,3.24919080135079,0.2341803,4,146,11.3558323144006,0.0273972602739726,0
"Goosefish","Goosefish",0,4.77542059520055,0.186956986339115,0.4,2.44,0.979917261641239,0.163934426229508,0.0156170458153205
"HMS","HMS",0,4.25956220631359,0.032,0.58,6.79,0.0256026062223696,0.085419734904271,3.33382269000589e-05
"Illex","Illex",0,3.78805950961476,0.284943324215039,5.72,19,0.241220111289188,0.301052631578947,0.0237205367710104
"LgCopepods","LgCopepods",0,2.47884001170359,2.8196164973201,61,109.5,0.900057700671019,0.557077625570776,0
"LittleSkate","LittleSkate",0,3.56143320159199,0.30204387192089,0.3,0.83,1.30651053705433,0.36144578313253,0.000505886294839143
"Loligo","Loligo",0,3.78805950961476,1.80124109212671,5.72,19,0.317387705820056,0.301052631578947,0.0321566928673809
"Macrobenthos","Macrobenthos",0,2.35373593754828,91.844161,7.2,16.84234942,0.241299047082019,0.427493802702497,0.0191572669786663
"Megabenthos","Megabenthos",0,2.5057032525532,7.933486,9.2,15.533,0.332642806019319,0.592287388141376,0.0132445568389247
"Mesopelagics","Mesopelagics",0,3.39479438117842,0.1814111,2.2,3.7,2.32081968031799,0.594594594594595,0.421463503358763
"Micronekton","Micronekton",0,2.87775997955476,2.97134925,14.25,141.8938065,0.976096894260543,0.100427216321101,0
"Microzooplankton","Microzooplankton",0,2.33307886493739,4.72086,72,242.4242482,0.903673091779053,0.296999992923975,0
"OceanPout","OceanPout",0,3.37284035814529,0.0265177090727475,0.8,7,5.18197909500501,0.114285714285714,0.011916662345166
"OceanQuahog","OceanQuahog",0,2.08,4.71132679516368,1.5,6.66,0.022920266660847,0.225225225225225,0.132093740834353
"Odontocetes","Odontocetes",0,4.6724902876061,0.06165023,0.07,16.41511784,1.52374897634681,0.00426436171109448,0
"OtherCephalopods","OtherCephalopods",0,3.78805950961476,0.000183734822207725,7.15,19,554.601151750955,0.376315789473684,0.0060579490128954
"OtherDemersals","OtherDemersals",0,3.73153748823454,0.303895927436402,1.19,1.740893617,16.0676147581849,0.683556989571063,4.46647718908159
"OtherPelagics","OtherPelagics",0,4.20804140570279,0.0275089703967396,1.76,6.567885815,327.615161796311,0.267970553930831,14.9031911205849
"OtherShrimps","OtherShrimps",0,2.68613836059231,0.00559773272029484,8,6.66,36.5730315613103,1.2012012012012,0
"OtherSkates","OtherSkates",0,3.89424850638933,1.54596409893363,0.9,3,0.385080793120772,0.3,0.00323113093572733
"Phytoplankton","Phytoplankton",1,1,20.0455,195.45,0,0.532850142167874,Inf,0
"RedHake","RedHake",0,3.84475957750046,0.397738034844413,1.3,3.85,0.323116480766232,0.337662337662338,0.0134579623273915
"Scup","Scup",0,3.47997722295247,0.391409305911097,0.45,0.92,2.53311177228867,0.489130434782609,0.0624544555261353
"SeaBirds","SeaBirds",0,4.094191582511,0.002948594,0.28,80,0.148255811016888,0.0035,0
"Sharks","Sharks",0,4.74396611920065,0.06686477,0.14,0.875,6.43803415662177,0.16,0.0550158990596789
"SilverHake","SilverHake",0,4.46065483699311,0.356316759862435,0.8,3.06,1.57271851307128,0.261437908496732,0.104501064856384
"SmCopepods","SmCopepods",0,2.25800433139219,7.2422125026799,52.17,127.75,0.755414608250344,0.408375733855186,0
"SmFlatfishes","SmFlatfishes",0,3.4151839495865,0.00972920806903548,2.42,5.39,15.4222933578846,0.448979591836735,0
"SmoothDogfish","SmoothDogfish",0,3.64259000804389,0.577613969308229,4,5.387518519,0.00966757816939674,0.742456844629549,0.0010576857955339
"SmPelagics","SmPelagics",0,3.2083782372555,2.58777851778461,2,2.44,0.808363086722281,0.819672131147541,1.82433297510776e-06
"SouthernDemersals","SouthernDemersals",0,3.73588950923766,0.728677709081359,1.96,3.727232558,1.59793518494273,0.525859325786669,1.76042674608832
"SpinyDogfish","SpinyDogfish",0,4.37036546389772,2.75193129676475,0.2,2.316537379,0.145740121290316,0.0863357534452286,0.0142715934525952
"SummerFlounder","SummerFlounder",0,4.59027315949172,0.098203484097585,1.3,3.336863905,1.49399099064586,0.389587360171346,0.134627998404097
"SurfClam","SurfClam",0,2.08,10.024907520202,1.5,6.66,0.0163147001241681,0.225225225225225,0.163795005357281
"Weakfish","Weakfish",0,4.28298894230463,0.212024858426105,1.02,3.727232558,1.91618227863928,0.273661485868572,0.0456588530814425
"Windowpane","Windowpane",0,3.90539954572934,0.0687992930622353,0.25,0.92,2.96191027829407,0.271739130434783,0.00611769653559139
"WinterFlounder","WinterFlounder",0,3.37733654770627,0.0984520236757508,0.26,0.92,3.24413730369257,0.282608695652174,0.031285813889803
"WinterSkate","WinterSkate",0,3.77462309767612,0.104619277150206,0.25,0.9,1.18277026049808,0.277777777777778,0.00054180118264034
"YTFlounder","YTFlounder",0,3.3820762767399,0.125941531235049,1.83,3.234412371,0.531289429931819,0.565790564124701,0.0870651612319673
"Krill","Krill",0,2.87775997955476,0.52435575,14.25,36.5,0.421304779411053,0.39041095890411,0
"AtlMenhaden","AtlMenhaden",0,3.2083782372555,1.775190819,1.45,3.804,0.323824679268898,0.38117770767613,0
"Detritus","Detritus",2,1,8206.44843976293,0.5,0,0.920540356290954,0,0
"Discards","Discards",2,1,0.0808801394435717,0.5,0,0,0,0
"Fixed Gear","Fixed Gear",3,4.91109696315698,0,0,0,0,0,0
"LG Mesh","LG Mesh",3,4.89990280030832,0,0,0,0,0,0
"HMS Fleet","HMS Fleet",3,1,0,0,0,0,0,0
"Scallop Dredge","Scallop Dredge",3,3.08,0,0,0,0,0,0
"Trap","Trap",3,5.05364289922338,0,0,0,0,0,0
"Other Dredge","Other Dredge",3,3.37706563686858,0,0,0,0,0,0
"Other","Other",3,3.43787079687175,0,0,0,0,0,0
"Clam Dredge","Clam Dredge",3,3.08096128972328,0,0,0,0,0,0
"Pelagic","Pelagic",3,5.18569379059464,0,0,0,0,0,0
"SM Mesh","SM Mesh",3,4.97929019105279,0,0,0,0,0,0
"Recreational","Recreational",3,5.38081050845827,0,0,0,0,0,0
"PurseSeine","PurseSeine",3,1,0,0,0,0,0,0
